epoch: 1	loss(train): 0.331	accuracy(train): 0.885	loss(valid): 0.334	accuracy(valid): 0.872
epoch: 2	loss(train): 0.293	accuracy(train): 0.901	loss(valid): 0.300	accuracy(valid): 0.885
epoch: 3	loss(train): 0.270	accuracy(train): 0.908	loss(valid): 0.282	accuracy(valid): 0.894
epoch: 4	loss(train): 0.258	accuracy(train): 0.913	loss(valid): 0.272	accuracy(valid): 0.897
epoch: 5	loss(train): 0.253	accuracy(train): 0.915	loss(valid): 0.271	accuracy(valid): 0.906
epoch: 6	loss(train): 0.247	accuracy(train): 0.914	loss(valid): 0.266	accuracy(valid): 0.906
epoch: 7	loss(train): 0.246	accuracy(train): 0.917	loss(valid): 0.268	accuracy(valid): 0.912
epoch: 8	loss(train): 0.236	accuracy(train): 0.919	loss(valid): 0.260	accuracy(valid): 0.907
epoch: 9	loss(train): 0.235	accuracy(train): 0.918	loss(valid): 0.261	accuracy(valid): 0.907
epoch: 10	loss(train): 0.232	accuracy(train): 0.918	loss(valid): 0.259	accuracy(valid): 0.907
epoch: 11	loss(train): 0.233	accuracy(train): 0.920	loss(valid): 0.263	accuracy(valid): 0.909
epoch: 12	loss(train): 0.230	accuracy(train): 0.922	loss(valid): 0.264	accuracy(valid): 0.904
epoch: 13	loss(train): 0.227	accuracy(train): 0.924	loss(valid): 0.259	accuracy(valid): 0.913
epoch: 14	loss(train): 0.229	accuracy(train): 0.922	loss(valid): 0.261	accuracy(valid): 0.903
epoch: 15	loss(train): 0.225	accuracy(train): 0.921	loss(valid): 0.260	accuracy(valid): 0.905
epoch: 16	loss(train): 0.223	accuracy(train): 0.923	loss(valid): 0.258	accuracy(valid): 0.912
epoch: 17	loss(train): 0.222	accuracy(train): 0.925	loss(valid): 0.259	accuracy(valid): 0.910
epoch: 18	loss(train): 0.224	accuracy(train): 0.923	loss(valid): 0.263	accuracy(valid): 0.908
epoch: 19	loss(train): 0.221	accuracy(train): 0.925	loss(valid): 0.260	accuracy(valid): 0.909
epoch: 20	loss(train): 0.221	accuracy(train): 0.924	loss(valid): 0.263	accuracy(valid): 0.907
epoch: 21	loss(train): 0.219	accuracy(train): 0.925	loss(valid): 0.261	accuracy(valid): 0.908
epoch: 22	loss(train): 0.218	accuracy(train): 0.927	loss(valid): 0.260	accuracy(valid): 0.908
epoch: 23	loss(train): 0.218	accuracy(train): 0.927	loss(valid): 0.261	accuracy(valid): 0.909
epoch: 24	loss(train): 0.220	accuracy(train): 0.924	loss(valid): 0.264	accuracy(valid): 0.901
epoch: 25	loss(train): 0.217	accuracy(train): 0.927	loss(valid): 0.264	accuracy(valid): 0.905
epoch: 26	loss(train): 0.216	accuracy(train): 0.924	loss(valid): 0.265	accuracy(valid): 0.906
epoch: 27	loss(train): 0.220	accuracy(train): 0.923	loss(valid): 0.270	accuracy(valid): 0.902
epoch: 28	loss(train): 0.217	accuracy(train): 0.925	loss(valid): 0.264	accuracy(valid): 0.903
epoch: 29	loss(train): 0.215	accuracy(train): 0.927	loss(valid): 0.265	accuracy(valid): 0.903
epoch: 30	loss(train): 0.218	accuracy(train): 0.925	loss(valid): 0.270	accuracy(valid): 0.903
